,Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
130,1H_butane,7.3837,0.15771,-0.00014929,0.00000006615,-1.1138E-11,0,108.5
131,1H_decane,17.974,0.38707,-0.00037737,0.00000017058,-2.9135E-11,0,193.25
132,1H_dodecane,21.372,0.46396,-0.00045395,0.00000020568,-3.519E-11,0,220.31
133,1H_ethane,4.1218,0.080399,-0.000072144,0.000000030713,-5.0126E-12,0,79.742
134,1H_hexane,10.97,0.23395,-0.00022503,0.0000001008,-1.7106E-11,0,136.86
135,1H_pentane,9.3716,0.19518,-0.00018634,0.000000083041,-1.4038E-11,0,123.17
136,1H_propane,5.93,0.11846,-0.00010999,0.00000004806,-8.0068E-12,0,95.578
137,1H_undecane,19.677,0.42541,-0.00041548,0.00000018802,-3.214E-11,0,206.63
138,21_propene,2.3416,0.09432,-0.000086552,0.000000038156,-6.4503E-12,0,80.045
139,22_fts,5.8068,0.1848,-0.00016314,0.000000069834,-1.154E-11,0,116.65
140,22_ftsa,4.8978,0.19245,-0.00016763,0.000000071358,-1.1768E-11,0,117.55
141,22ftoh,5.3206,0.13602,-0.00010839,0.000000042523,-6.5343E-12,0,100.02
142,22rh,3.92,0.12557,-0.000098047,0.000000037932,-5.782E-12,0,92.759
143,23_ftca,3.8371,0.16677,-0.00013893,0.000000056652,-9.0007E-12,0,110.95
144,31_butene,4.1921,0.13202,-0.00012382,0.000000055152,-9.3714E-12,0,95.365
145,32_fts,7.3234,0.22377,-0.00020204,0.000000087692,-1.4624E-11,0,132.06
146,32_ftsa,6.5237,0.23119,-0.0002063,0.000000089114,-1.4835E-11,0,132.86
147,32_pentene,5.0985,0.1614,-0.00014732,0.000000064332,-1.0771E-11,0,105.83
148,32ftoh,7.1538,0.17364,-0.00014538,0.000000059317,-9.4119E-12,0,118.37
149,32rh,5.7499,0.1636,-0.00013583,0.00000005521,-8.7559E-12,0,108.8
150,33_ftca,5.6588,0.20479,-0.00017668,0.000000073899,-1.1968E-11,0,127.08
151,42_fts,8.9874,0.2623,-0.0002404,0.00000010528,-1.7657E-11,0,145.44
152,42_ftsa,8.2187,0.26951,-0.00024435,0.00000010652,-1.7831E-11,0,146.03
153,42ftoh,8.7226,0.21248,-0.00018413,0.000000077108,-1.2484E-11,0,128.55
154,42rh,7.3155,0.20246,-0.0001746,0.000000073015,-1.1831E-11,0,121.66
155,43_ftca,7.2844,0.24349,-0.00021528,0.00000009162,-1.5028E-11,0,140.15
156,51_hexene,7.6842,0.20856,-0.00019992,0.000000089987,-1.5373E-11,0,124.02
157,52_heptene,8.7437,0.23752,-0.00022295,0.000000098925,-1.6728E-11,0,134.24
158,52rh,9.1028,0.24061,-0.00021253,0.000000090373,-1.4822E-11,0,135.87
159,53_ftca,8.896,0.28228,-0.00025402,0.00000010942,-1.8104E-11,0,153.89
160,61_heptene,9.3318,0.24725,-0.00023855,0.00000010773,-1.8439E-11,0,137.79
161,62_fts,12.421,0.33914,-0.00031695,0.00000014037,-2.3712E-11,0,173.15
162,62_ftsa,11.639,0.34648,-0.00032111,0.00000014174,-2.3911E-11,0,173.91
163,62_octene,10.416,0.27604,-0.00026132,0.00000011652,-1.9764E-11,0,147.99
164,62ftab,7.1203,0.5285,-0.00042106,0.0000001656,-2.5582E-11,0,224.93
165,62ftoh,12.145,0.2893,-0.00026063,0.00000011217,-1.8532E-11,0,156.24
166,62rh,10.821,0.279,-0.00025075,0.00000010789,-1.7842E-11,0,149.64
167,71_octene,11.221,0.28505,-0.00027604,0.00000012486,-2.1385E-11,0,152.36
168,butylallyl,9.4988,0.11984,-0.00011699,0.000000052971,-9.0669E-12,-274.97,106.35
169,c2f4,5.7237,0.058171,-0.000056241,0.000000025472,-4.3786E-12,0,74.103
170,c2f4o,5.197,0.073191,-0.000070516,0.000000031674,-5.393E-12,-246.94,79.899
171,fbsa,11.233,0.22125,-0.00021906,0.00000010109,-1.7593E-11,0,131.19
172,fetsa,7.802,0.14442,-0.00014251,0.000000065988,-1.1535E-11,0,104.17
173,fhpsa,16.036,0.33743,-0.00033486,0.00000015421,-2.676E-11,0,172.27
174,nmefosaa,11.743,0.27613,-0.00025754,0.00000011408,-1.9287E-11,0,153.14
175,pfbcof,8.7874,0.14927,-0.00014601,0.000000066193,-1.1336E-11,0,109.98
176,pfboh,8.2726,0.1764,-0.00017407,0.000000079713,-1.3763E-11,0,113.59
177,pfbs,11.175,0.21519,-0.00021542,0.000000099673,-1.7344E-11,0,129.89
178,pfeoh,4.6897,0.10029,-0.00009858,0.000000045231,-7.8324E-12,0,84.567
179,pfets,7.862,0.1377,-0.0001379,0.000000064023,-1.118E-11,0,101.57
180,pfhpa,12.704,0.27473,-0.00026927,0.00000012256,-2.1063E-11,0,151.73
181,pfhpoh,13.374,0.29174,-0.00028895,0.00000013238,-2.2849E-11,0,155.32
182,pfhps,16.251,0.33039,-0.00033001,0.00000015216,-2.6394E-11,0,172.06
183,pfhxa,10.972,0.23642,-0.00023116,0.00000010511,-1.8056E-11,0,137.72
184,pfhxcof,12.286,0.22581,-0.00022214,0.00000010105,-1.7343E-11,0,137.55
185,pfhxoh,11.626,0.25346,-0.00025086,0.00000011494,-1.9843E-11,0,141.24
186,pfhxs,14.784,0.29118,-0.00029077,0.0000001341,-2.3269E-11,0,158.46
187,pfoa,14.427,0.3131,-0.00030747,0.00000014007,-2.4083E-11,0,165.67
188,pfocof,14.079,0.26393,-0.00026002,0.00000011838,-2.0328E-11,0,151.88
189,pfooh,14.773,0.33121,-0.00032852,0.00000015062,-2.6011E-11,0,168.24
190,pfpeoh,9.9632,0.21492,-0.00021246,0.000000097329,-1.6804E-11,0,127.54
191,pfpes,12.939,0.25323,-0.0002531,0.00000011688,-2.0306E-11,0,144.31
192,pfpncof,10.495,0.18766,-0.00018422,0.000000083691,-1.4353E-11,0,123.37
193,pfpra,5.7283,0.12156,-0.00011688,0.000000052758,-9.0306E-12,0,96.243
194,pfprcof,7.0146,0.1111,-0.00010808,0.00000004883,-8.3445E-12,0,95.561
195,pfproh,7.862,0.1377,-0.0001379,0.000000064023,-1.118E-11,0,101.57
196,pfprs,9.5353,0.17634,-0.0001765,0.000000081762,-1.4246E-11,0,116.92
197,propene,4.4189,0.099053,-0.000096612,0.000000043772,-7.5002E-12,0,84.442
198,tfa,1.8518,0.083796,-0.000079417,0.00000003563,-6.0813E-12,0,75.178
199,tfcof,5.1967,0.073193,-0.000070524,0.00000003168,-5.3945E-12,0,79.91
200,triflate_amide,5.7568,0.10706,-0.00010551,0.000000049102,-8.6328E-12,0,87.728
201,triflic,6.0954,0.099749,-0.00010039,0.000000046934,-8.2463E-12,0,87.011
